fea1,fea2,fea3,fea4,ans
6.323366078053887e-06,3.914415957080949e-06,8.805546514627903e-06,4.574976151181243e-06,0.7374
3.156004467012704e-06,2.4907392914185817e-06,8.639262803617186e-06,5.740518448996811e-06,0.7374
4.3376889618980735e-06,3.570830423672467e-06,9.189184711042077e-06,8.300066454451271e-06,0.7374
2.7204495861067146e-06,1.4952237714328243e-06,7.227709413241225e-06,5.456283447445451e-06,0.7374
9.695801291037353e-06,4.01789167269023e-06,1.6806954398266524e-05,1.2710331148960053e-05,0.7374
1.7165189638103082e-06,6.965328253254323e-07,4.491795898728686e-06,3.832066744586741e-06,0.7374
1.3900183582032938e-06,5.245073717271234e-07,7.470972916630823e-07,1.7250979687019968e-06,0.7374
6.634436017497147e-06,3.6781369961206187e-06,7.1103080199416015e-06,5.817718478513729e-06,0.7374
2.332805504434216e-06,2.6810968885686477e-06,6.6381751670447535e-06,4.689721499540248e-06,0.7374
1.9987146993289415e-06,5.185925362442489e-07,3.1527775289268204e-06,4.599764705877279e-06,0.7374
2.243515916170383e-06,1.436359682692942e-06,1.999074016096392e-06,2.6347796961474517e-06,0.7374
2.193106140828875e-06,2.0583597004381913e-06,1.0806118435243235e-05,5.890542555498029e-06,0.7374
5.268475454070224e-06,4.348623447890865e-06,5.310137098360218e-06,3.299438316615959e-06,0.7374
4.777624224326066e-06,4.2974994469532024e-06,5.289959473672623e-06,3.158570424745695e-06,0.7374
2.9373837663806454e-06,2.5176674482552882e-06,1.6769126518032746e-05,1.1417609365911798e-05,0.7374
4.4279572543250257e-07,8.365070145617914e-07,3.798109281563963e-06,3.891901652203852e-06,0.7374
5.5927508239975135e-06,4.1829078938079965e-06,7.709568596610322e-07,8.982017908567552e-07,0.7374
7.636832707050893e-07,8.195809666027102e-07,5.491769463497988e-06,3.4141597696620565e-06,0.7374
3.3571100669073433e-07,1.2203716464358824e-06,3.098703840450246e-06,2.0013370291833464e-06,0.7374
4.934229466332466e-06,4.140175230679309e-06,2.8009599107146896e-06,1.6678354999940394e-06,0.7374
1.5849717168503526e-06,1.7030262904097576e-06,1.0650935092921146e-05,6.25740941348422e-06,0.7374
2.3724859001372607e-06,1.9102464830568585e-06,2.232923436101668e-06,1.6020127162830471e-06,0.7374
6.884648884386132e-07,1.058049930627139e-06,4.394044972318901e-06,2.9191826494683207e-06,0.7374
2.0142474521381962e-07,1.3000390031559207e-06,4.554853711386468e-06,3.0414759884933198e-06,0.7374
4.105458203338075e-07,1.6997623241499415e-06,1.0555596421028411e-05,6.723368166757455e-06,0.7374
2.0551879703794547e-06,8.543195824071198e-07,4.959122498598793e-06,3.5525346428607803e-06,0.7374
2.333919093556634e-06,1.5540498037606123e-06,4.56972757163531e-07,6.37675984157258e-07,0.7374
1.3675104649079087e-06,1.5214557024796385e-06,5.586394814980129e-06,3.6359551093814203e-06,0.7374
4.7382922305724925e-07,9.870967369636186e-07,5.3716931360721725e-06,3.4067472880601846e-06,0.7374
1.1911394063491657e-06,1.1904454515074647e-06,4.680603319119827e-06,3.2020011857452653e-06,0.7374
2.689924097648841e-06,1.434383085944748e-06,3.3130883249432386e-06,2.0966493136909934e-06,0.7374
9.92252272746261e-07,9.382245823788876e-07,1.0315219284271108e-06,3.58478002478596e-07,0.7374
2.014263455130365e-06,1.7939459158672358e-06,2.644077122043795e-06,1.994432487039942e-06,0.7374
6.947231066555594e-07,1.69322277822556e-06,1.94513665864575e-06,1.7794033491773558e-06,0.7374
9.16679746098818e-07,1.125746985009915e-06,1.9937803033238356e-06,1.1198077461823617e-06,0.7374
8.341454067228328e-07,1.1295073006048382e-06,1.8833143182211142e-06,1.4781691007725362e-06,0.7374
1.7548263259084278e-06,4.779422662369571e-07,1.7755892542256898e-06,1.14553314018421e-06,0.7374
1.5253551683462904e-06,3.5507592396145175e-07,6.8174284216094646e-06,4.454895599906354e-06,0.7374
