fea1,fea2,fea3,fea4,ans
6.96594154565181e-06,4.416228908493192e-06,1.0585342684870487e-05,6.497485079753706e-06,0.928
3.1150201611864506e-06,3.3375841332153704e-06,9.407939207724586e-06,6.382768832713241e-06,0.928
1.5035526088705783e-06,8.771818815823764e-07,7.497052994007803e-06,2.372787434404806e-06,0.928
2.2625105024775277e-06,5.997897210329833e-07,2.7339448719268595e-06,3.3544778333912155e-06,0.928
5.048591057549526e-06,2.349244802876661e-06,8.256499667120358e-06,6.847673665124823e-06,0.928
1.42964827459906e-06,6.787160205617976e-07,4.1782727328927686e-06,1.7856178793711163e-06,0.928
3.2605367613482964e-06,3.081038206116473e-06,7.689114977291104e-06,4.5860322672937824e-06,0.928
3.142529964092182e-06,2.18822297981029e-06,1.9010470516710555e-06,1.7783283584205696e-06,0.928
6.515805573026308e-06,5.3694443553225805e-06,1.3214845393244753e-06,4.034479808671062e-06,0.928
2.001144392065363e-06,2.326846516402321e-06,2.966519890911735e-06,1.4829380893512754e-06,0.928
4.72040320272368e-06,3.666796738667254e-06,7.907517967077316e-06,4.893991797874017e-06,0.928
4.4414924135611e-06,4.705860626192247e-06,3.5284232567921287e-06,4.11798864560702e-06,0.928
3.4414072228149185e-06,1.8788118878558175e-06,5.973617471903245e-06,4.0072811331728004e-06,0.928
6.516896091830278e-06,2.877701896466721e-06,8.122082473840445e-06,6.6114308406817e-06,0.928
6.090839679951341e-06,3.2233217747401083e-06,1.7027442394307295e-05,1.0597390044528275e-05,0.928
4.037475913715089e-06,4.484015727798033e-06,6.9960596106559165e-06,5.367281158199089e-06,0.928
2.866157940210081e-06,9.180658350509991e-07,1.0730073420628398e-05,6.380206307548578e-06,0.928
2.5967693303071454e-06,9.785635702597073e-07,7.331179313764157e-06,5.28983174879707e-06,0.928
2.024802678826141e-07,3.9692060947870736e-07,4.784070690409404e-06,1.7072612218990717e-06,0.928
1.163612547141885e-06,1.2620373441011958e-06,1.7166770025569447e-06,1.32667137660092e-06,0.928
9.001761339076883e-07,5.441484597102443e-07,3.525359981442708e-06,2.1583344184887785e-06,0.928
3.1273564848242253e-06,1.3143030080049134e-06,5.847105086165239e-06,2.469951691944789e-06,0.928
3.340695212814335e-06,2.8107498337783948e-06,4.002822486942044e-06,3.254401798929174e-06,0.928
3.0410728583466165e-06,1.1344959045279466e-06,8.661812262691707e-06,4.9483892894296815e-06,0.928
3.4199039998315613e-06,4.084022818700456e-07,2.3734953942233218e-06,1.6633985003147237e-06,0.928
4.5823204251158915e-07,1.4380525110128245e-06,1.9567936026648755e-06,2.4404780540974655e-06,0.928
5.5164538191567146e-06,3.1920219867949887e-06,3.533135978562064e-06,2.4939690576884147e-06,0.928
1.471800768625805e-06,1.8838421044726312e-06,5.9351480718954355e-06,4.0638980216297416e-06,0.928
1.932844379211276e-06,1.0921045958493597e-06,5.757709872728102e-06,3.5298624405106334e-06,0.928
3.2017373797888896e-06,2.5022402372201537e-06,6.625917324724611e-07,1.8927256956183449e-06,0.928
2.0392182173204243e-06,7.717498535643462e-07,4.826422124856688e-06,2.059417053170407e-06,0.928
9.28420142132915e-07,8.850467988112305e-07,2.734354746191769e-06,2.0362907704076508e-06,0.928
1.910159622043026e-06,1.8022705539401487e-06,4.0439090255434635e-06,2.4467384582709893e-06,0.928
1.0137743942788674e-06,2.7605126992846946e-06,1.6221145525849353e-06,1.517259820888251e-06,0.928
1.1040335702357656e-06,1.613395502571206e-06,6.085311115850746e-07,1.6005057920168841e-06,0.928
1.7091757026783932e-06,3.1099511074168974e-06,3.060216585069263e-06,2.5896227422996945e-06,0.928
1.7439034071435716e-06,1.7442665508935215e-06,4.508462791332136e-06,3.0625767597510635e-06,0.928
2.2326407585574754e-06,2.6220432248255964e-06,1.7952639550173078e-06,1.3654887186975478e-06,0.928
1.4342908338645128e-06,5.744364354150701e-07,9.56425615983022e-07,1.0830817710007086e-06,0.928
1.7743725980846538e-06,5.429266148088424e-07,4.219481192491461e-06,3.4704337148031765e-06,0.928
2.5248954978095448e-06,2.1500451848981994e-06,3.101960162398341e-06,2.4350635343578022e-06,0.928
5.188303370919008e-07,1.1531841490793679e-06,2.192967113074693e-06,1.2586069168192371e-06,0.928
1.2209192143535186e-06,1.4907385585552876e-06,1.907953085257137e-06,1.0668137100005866e-06,0.928
1.3158715948700859e-06,1.5136881982739997e-06,1.4385684481213391e-06,1.2789060285801795e-06,0.928
3.0586513549575034e-06,1.992044870281139e-06,3.337448821408544e-06,2.3655937296085846e-06,0.928
1.5909376290223321e-06,1.678988399283797e-06,3.2605712125558755e-06,1.4039467182022269e-06,0.928
1.4053319801624727e-06,1.0905904631878978e-06,9.533555610486003e-07,6.375744652976645e-07,0.928
9.173228027658137e-07,1.3676763025647006e-06,1.90034835553754e-06,1.8571667260455492e-06,0.928
1.1917756922433563e-06,1.8372999711003046e-06,1.6209705689356322e-06,1.0573843801798659e-06,0.928
2.6248142903541917e-06,1.614961302590117e-06,4.014060258147433e-06,2.6078312679229735e-06,0.928
3.4386964370612984e-06,3.0899793296276386e-06,3.214954347227999e-06,2.336765107723545e-06,0.928
2.2271909062049768e-06,1.3277680014692023e-06,3.347402803564918e-06,1.9987451206332865e-06,0.928
9.039854374993256e-07,1.465975240024755e-07,1.4337895959041164e-06,1.972763957541914e-06,0.928
1.9352624049096028e-06,1.353826814963572e-06,2.223846350134585e-06,1.9057957857296368e-06,0.928
1.1683998412366803e-06,3.3489140640440537e-07,4.819593073428117e-06,3.2897086207882183e-06,0.928
2.822767996699809e-06,2.0762393374755116e-06,3.891615606996146e-06,1.8976211742176574e-06,0.928
5.376437424417324e-06,5.700988576287138e-06,5.757702486130218e-06,5.203135111914923e-06,0.928
8.322895941489494e-06,1.082130379205386e-05,8.795363903217752e-06,7.5221518140847936e-06,0.928
3.2595918648005493e-06,3.7521213870174724e-06,3.866907620546257e-06,2.7162663418426914e-06,0.928
1.44464399249597e-06,2.210164092674887e-06,1.1072047117750707e-06,7.352011737908378e-07,0.928
1.1229879880530646e-06,1.324778827454981e-06,2.3002639547591687e-06,7.061148171932986e-07,0.928
1.6782751971148255e-06,2.3537640304512144e-06,2.224649435596785e-06,1.258111030093984e-06,0.928
4.4906389119144687e-07,1.5516434117017386e-06,1.9509839206735718e-06,1.6484186567962617e-06,0.928
1.7078747115834272e-06,1.3870742999889132e-06,2.822995746113716e-06,1.209301769419278e-06,0.928
8.683716660674195e-07,1.2285379027530845e-06,7.915803688627434e-07,1.1570119406042238e-06,0.928
1.7023715079554784e-06,2.2415930726999297e-06,4.256162237947655e-06,1.9525769136234867e-06,0.928
4.5175525154593845e-06,2.6941521833999294e-06,7.496506792471799e-06,3.9768183719611965e-06,0.928
2.150344375051802e-06,2.3371785619860065e-07,5.108140006469276e-06,2.531759497162443e-06,0.928
1.0984114433664888e-06,4.708076968362119e-07,1.6761352459950638e-06,1.3256346624713944e-06,0.928
7.946561519978541e-07,2.3257850368952424e-06,1.90972394179071e-06,1.5527147704849456e-06,0.928
2.6845953541785177e-06,1.7079348189018977e-06,2.185229246170923e-06,1.400984285827999e-06,0.928
1.0808312203540927e-06,9.160265349748586e-07,1.6438432042278593e-07,3.010003268160346e-07,0.928
2.4530160563121883e-06,2.0369602273158797e-06,2.8999748195193426e-06,1.520971487388927e-06,0.928
8.59097054173846e-07,9.847297826881163e-07,4.723613373046755e-07,5.001944325786368e-07,0.928
1.1272008484310734e-06,1.6617998318461087e-06,1.7931736968237467e-06,1.7998131481459907e-06,0.928
1.001852934974306e-06,1.6008924182968459e-06,1.8384906709463527e-06,6.282962948920857e-07,0.928
2.5546991348563913e-06,2.193509421237434e-06,1.2933260101837031e-06,1.3477903882578552e-06,0.928
5.353581503411837e-07,1.0442591212629476e-06,2.0605316387166244e-06,4.775723479866384e-07,0.928
2.0435272633690907e-06,1.8308301328461626e-06,2.5309898730122117e-06,1.140871141405098e-06,0.928
4.244886623591526e-07,4.6841666981010236e-07,1.1916190593434163e-06,1.5260773398090469e-06,0.928
1.9811402847655357e-06,2.272060827150773e-06,2.0286192203851003e-06,2.232409025406554e-06,0.928
1.476274179384563e-06,1.0174196914418394e-06,1.6780669294280037e-06,1.1986178174308024e-06,0.928
9.596826689452097e-07,1.2795647893603169e-06,9.680379259771922e-07,8.181168611028255e-07,0.928
5.620957973622157e-07,1.951927109739819e-06,1.5701995347792113e-06,4.887163994516607e-07,0.928
2.3889945576166764e-06,1.8081754297543502e-06,2.2169923654569453e-06,1.6360180554291552e-06,0.928
1.8656220750440655e-06,2.2437887597563733e-06,3.3624332410165925e-06,2.6309183397086204e-06,0.928
1.5938424220118504e-06,2.2882507135732567e-06,1.4736503257197824e-06,1.3102928989971493e-06,0.928
2.6881485718058153e-06,1.4446978562090962e-06,2.1519841056590435e-06,1.8942549628156336e-06,0.928
2.307479407984612e-06,2.979787593502347e-06,2.4753176752042756e-06,2.0776611605789264e-06,0.928
3.754323678701688e-06,3.797643421623733e-06,5.087109329880579e-06,4.122321624450938e-06,0.928
8.458532683851211e-07,1.1868505420989501e-06,1.6858538916087346e-06,8.96178035971138e-07,0.928
4.874307048662416e-07,1.3918155484393014e-06,1.5047243708413918e-06,8.331319351368095e-07,0.928
3.1305151922023447e-06,1.938235312383139e-06,3.334820571934972e-06,3.163664021192554e-06,0.928
1.5939689856987718e-06,1.286668359713455e-06,2.910253211934105e-06,1.9095375941699333e-06,0.928
1.7284527173676065e-06,1.7719076003764868e-06,2.0657334411864998e-06,1.6826946298883805e-06,0.928
2.032282823535838e-06,1.967142136227303e-06,2.1663909872407748e-06,1.6623992542196594e-06,0.928
