fea1,fea2,fea3,fea4,ans
1.0341568591321341e-05,6.281854104975575e-06,4.839760180647432e-06,2.605426889014038e-06,1.1181
8.60107141237758e-06,7.103322423128967e-06,4.22774259903952e-06,1.4078514905185793e-06,1.1181
1.5594362095255382e-06,3.6768203734272373e-06,7.2012114274790545e-06,2.6918660269674177e-06,1.1181
1.1472694749314582e-06,3.1580050352343683e-06,4.5748741117293985e-06,2.229645690801008e-06,1.1181
2.037079551342418e-06,4.213396344688503e-06,8.20099732862507e-06,4.198055655545258e-06,1.1181
5.177981287981416e-06,3.0759037423398765e-06,2.230804073646402e-06,1.238050162523474e-06,1.1181
4.190239540666092e-06,2.524194065858538e-06,7.785158892143492e-06,4.135776709733984e-06,1.1181
6.10363975907562e-06,6.252568169631537e-06,7.136142973829131e-06,5.282440314377077e-06,1.1181
3.2357101876372843e-06,2.393236550230808e-06,1.3303070989273766e-05,6.98391295256991e-06,1.1181
1.847803973864319e-06,1.8143748919762519e-06,3.0264115747626193e-07,1.7199703601351292e-06,1.1181
6.252859237557866e-06,4.876451765110894e-06,8.854187888380014e-06,5.418387476428447e-06,1.1181
9.385864678072906e-07,1.2556322295665837e-06,7.529374238317471e-07,2.2207461991059953e-06,1.1181
2.1468553274138522e-06,3.2373999345250453e-06,8.182241770648388e-06,2.7571619399525298e-06,1.1181
2.5941003759890453e-06,2.595217307322147e-06,3.724217434542658e-06,2.4669304672397587e-06,1.1181
5.308811121031562e-06,6.909393225445201e-06,3.859601660089965e-06,1.856437038767178e-06,1.1181
4.79317164637781e-06,3.603718020235293e-06,5.9929381048804755e-06,3.051145583341917e-06,1.1181
1.8349290740424626e-06,1.6942464320508915e-06,2.279347953768467e-06,6.413922771807216e-07,1.1181
1.1259360711084888e-06,1.0321184157636373e-06,3.3438670687549412e-06,1.8474566557843776e-06,1.1181
1.4292733011960327e-06,3.4429880005493555e-06,5.664105747056908e-06,1.8322591231167606e-06,1.1181
5.016798865888446e-07,1.5333536336209023e-06,3.0660791365776717e-06,2.347375942741984e-06,1.1181
