fea1,fea2,fea3,fea4,ans
3.2582156591472996e-06,4.271078745556656e-06,1.3018354774903099e-05,7.428065648162683e-06,0.7436
6.022653446398759e-06,5.893796065546433e-06,3.73061399662357e-06,4.355711783028323e-06,0.7436
2.3283440126832377e-06,3.766542517473052e-06,8.028773839341317e-06,4.08514808910729e-06,0.7436
2.1629233590603543e-06,1.5987698805693834e-06,3.0367580872905446e-06,3.4350174957594986e-06,0.7436
1.8582364180562337e-06,1.639067971466645e-06,1.1119644343280181e-05,4.011454470338085e-06,0.7436
2.7119168489611024e-06,3.392503000580221e-06,7.83613110732822e-06,2.8941486593926213e-06,0.7436
1.1089143358925126e-06,1.4320751524496213e-06,4.358708464956874e-06,2.805062980584648e-06,0.7436
2.7585230872813385e-06,3.664952552110621e-06,4.725571534811731e-06,2.733344670213767e-06,0.7436
3.4358696165771936e-06,5.718742868617192e-06,7.9968242577074e-06,4.503775459946495e-06,0.7436
1.9093819232720916e-06,1.9068050340417542e-06,6.343863443322141e-06,2.857087171993258e-06,0.7436
6.624290092797919e-06,6.007133020919692e-06,8.09065729507439e-06,5.722953169677599e-06,0.7436
4.5972921149141866e-06,2.450177660958468e-06,1.3726288110875418e-05,7.824343920972047e-06,0.7436
2.4262692464241907e-07,2.0647425700094566e-06,1.381653157113075e-06,1.7680978731429498e-06,0.7436
3.6951565076951926e-06,4.08659486213641e-06,7.596458558304224e-06,4.319033958084912e-06,0.7436
1.2279447989949901e-06,1.9805000170477226e-06,2.7517996516313574e-06,2.8530023936182796e-06,0.7436
4.5856227573815604e-06,2.4903634958149907e-06,4.310149988572442e-06,8.230139781689081e-07,0.7436
2.941552786064597e-06,3.1295982996936687e-06,3.608544533160566e-06,2.4464652530708567e-06,0.7436
1.9370351683087e-06,1.5505126222227045e-06,6.43328237135606e-06,4.005597048888532e-06,0.7436
2.3068400900657302e-06,3.2682369508469757e-06,3.6666310529320507e-06,1.7408806419414304e-06,0.7436
7.797415772080538e-07,3.6613527596089575e-06,4.363698178261296e-06,1.8519437967370979e-06,0.7436
2.837232082635678e-06,2.022450867479247e-06,5.26583103699653e-06,3.2502352415753675e-06,0.7436
2.4587136659207034e-06,2.37568740996065e-06,2.3737797542856937e-06,9.87326103182607e-07,0.7436
5.629809483978677e-07,6.901355856201741e-07,1.6354307840619885e-06,7.57441217579832e-07,0.7436
3.045257895767515e-07,2.0259906345074577e-07,3.597283570510906e-06,1.1385654910574545e-06,0.7436
2.581494181265975e-06,3.7437443689800775e-06,4.371605816188422e-06,1.6089977319311618e-06,0.7436
1.0830588067729198e-06,2.7371538713534163e-06,1.2660559166343119e-06,1.1788146635624767e-06,0.7436
2.3096491344824026e-06,2.3425412436015084e-06,2.2250727080393533e-06,1.0191518127411134e-06,0.7436
7.949698275678251e-07,1.7605351318065136e-06,1.6955677869976805e-06,7.81240900620445e-07,0.7436
2.4432356025667166e-06,2.3701274236011092e-06,4.975735517731134e-06,1.9759589376873137e-06,0.7436
1.7166401932464906e-06,1.9031030853900652e-07,3.6082961966525504e-06,2.9829437592960815e-06,0.7436
3.978402249897111e-07,1.8859335877773069e-06,2.6469081415358256e-06,1.1337513672294938e-06,0.7436
6.077740747365673e-07,1.900890145358657e-06,8.913150940158181e-07,5.896661957639661e-07,0.7436
4.884390378485128e-07,1.299477343821233e-06,9.594670720143103e-07,2.5709156484054927e-07,0.7436
1.6139177958676122e-06,2.120800088860286e-06,2.540004705604799e-06,1.7005526880386865e-06,0.7436
1.371159108054286e-06,9.942665761364401e-07,2.251576826136062e-06,1.0723926728977247e-06,0.7436
4.133967581444318e-07,5.357538206458612e-07,3.0679623605072875e-06,1.3955249675826221e-06,0.7436
2.292837743354756e-06,2.3592677544551503e-06,3.55397468722779e-06,1.9367198051577834e-06,0.7436
9.27472750109267e-07,1.1904009438358426e-06,1.918649515347788e-06,1.2457692860192359e-06,0.7436
3.91329617542028e-06,2.209753737301274e-06,4.335975942710925e-06,1.2972752379918793e-06,0.7436
9.523292228467768e-07,9.061420024972082e-07,3.0712377475570776e-06,8.11365857805191e-07,0.7436
1.2380011922874276e-06,9.265204653915961e-07,2.2446126594795125e-06,1.1311662281301987e-06,0.7436
2.236962085406367e-06,1.8056761186909514e-06,2.6960621821412586e-06,1.071368247848749e-06,0.7436
1.4007403018626257e-06,1.234445121106297e-06,3.2242243574754478e-06,1.210210674511452e-06,0.7436
1.312382716803937e-06,1.5166181458868732e-06,3.532716344107676e-06,2.276445801144242e-06,0.7436
